userId,reviews
0,21
1,1
2,238
3,72
4,249
5,3
6,31
7,117
8,193
9,4
10,47
11,4
12,1
13,3
14,8
15,15
16,3
17,6
18,250
19,1
20,6
21,35
22,55
23,11
24,3
25,22
26,20
27,11
28,237
29,255
30,1
31,5
32,250
33,19
34,3
35,15
36,1
37,1
38,8
39,46
40,9
41,1
42,2
43,10
44,79
45,1
46,8
47,119
48,83
49,2
50,9
51,3
52,7
53,13
54,49
55,88
56,29
57,16
58,42
59,41
60,2
61,6
62,1
63,5
64,133
65,4
66,259
67,2
68,344
69,27
70,5
71,273
72,9
73,1
74,14
75,6
76,281
77,1
78,270
79,288
80,97
81,4
82,55
83,7
84,3
85,2
86,5
87,7
88,11
89,45
90,43
91,1
92,1
93,153
94,6
95,4
96,365
97,3
98,3
99,7
100,5
101,2
102,9
103,17
104,72
105,1
106,5
107,3
108,5
109,17
110,28
111,6
112,22
113,29
114,226
115,11
116,4
117,20
118,7
119,37
120,738
121,7
122,38
123,1
124,265
125,110
126,3
127,3
128,363
129,2
130,77
131,4
132,1
133,2
134,1
135,45
136,309
137,3
138,65
139,1
140,167
141,1
142,57
143,11
144,42
145,439
146,1
147,2
148,34
149,172
150,2
151,1
152,96
153,6
154,1
155,90
156,3
157,198
158,2
159,243
160,30
161,1
162,3
163,100
164,141
165,74
166,150
167,2
168,200
169,4
170,135
171,9
172,60
173,2
174,109
175,1
176,40
177,6
178,116
179,15
180,28
181,1
182,11
183,2
184,146
185,194
186,90
187,9
188,17
189,33
190,1
191,13
192,1
193,77
194,29
195,13
196,22
197,774
198,1
199,1
200,10
201,4
202,73
203,2
204,6
205,34
206,1
207,64
208,7
209,156
210,18
211,16
212,18
213,4
214,1
215,17
216,96
217,211
218,14
219,2
220,1
221,70
222,1
223,25
224,82
225,4
226,5
227,89
228,16
229,44
230,33
231,4
232,9
233,145
234,3
235,2
236,78
237,18
238,25
239,21
240,101
241,66
242,70
243,6
244,29
245,1
246,11
247,43
248,111
249,1
250,12
251,6
252,15
253,21
254,3
255,65
256,7
257,1
258,312
259,103
260,8
261,52
262,154
263,272
264,2
265,140
266,67
267,102
268,4
269,1
270,19
271,6
272,14
273,162
274,1
275,1
276,2
277,10
278,39
279,38
280,81
281,33
282,1
283,65
284,1
285,4
286,3
287,87
288,1
289,32
290,8
291,10
292,12
293,4
294,105
295,6
296,4
297,1
